freq[GHz], re(A), im(A), re(B), im(B), re(C), im(C), re(D), im(D)
0.5,0.9872076910013333,4.922715910849229e-06,-0.28194567796752534,3.9911660008804724,4.286379300135618e-06,0.003103108604922365,0.9945312356980553,0.07842534164822207
0.6,0.9817869726672114,4.400284858943843e-05,-0.4119083966733422,4.778670376867279,4.954496474165321e-06,0.0037169892268300872,0.9918868789322521,0.09391199772131761
0.7,0.9753976232185042,8.947518933253711e-05,-0.5656213598213043,5.561354511743406,5.582304994807691e-06,0.004327297436555051,0.9887595106106182,0.10931029014236306
0.8,0.9680453146433616,0.00014240596201300513,-0.7428685827608654,6.338454098114022,6.1672110288728266e-06,0.0049334495975477625,0.9851531639011971,0.12460545958929259
0.9,0.9597368999093469,0.00020382604331929511,-0.9434375099898464,7.109199903888304,6.703297608386116e-06,0.005534864444634549,0.9810718789267772,0.13978279733534166
1,0.9504803053005161,0.0002747269349537561,-1.16710575722889,7.872825939581811,7.182392559933887e-06,0.006130964366277462,0.9765198978060827,0.1548277256855341
1.1,0.9402844706953878,0.0003560714635032899,-1.413634560787848,8.628571589414214,7.59460559466088e-06,0.006721176114392179,0.9715017725849234,0.16972581785161628
1.2,0.9291593184197096,0.0004488037763304329,-1.6827659110796402,9.375682197933118,7.928557263541663e-06,0.0073049313676268835,0.9660224209496626,0.184462802322622
1.3,0.9171157368057756,0.0005538544422089787,-1.9742215229917903,10.1134094571379,8.171456282204254e-06,0.007881667284276426,0.9600871535767522,0.19902456607729443
1.4,0.9041655703479382,0.0006721406156243454,-2.287702677007901,10.841011919790663,8.30911321617056e-06,0.008450827079604897,0.9537016866918774,0.21339716011351564
1.5,0.8903216123713027,0.000804562274786439,-2.6228904597733678,11.557755660244078,8.325936043249854e-06,0.009011860629725527,0.94687214679624,0.22756680737037954
1.6,0.8755975979396282,0.0009519955529220189,-2.979446186289278,12.262915037358598,8.20493028988456e-06,0.009564225098079667,0.9396050712469659,0.24151991237081324
1.7,0.8600081959423435,0.0011152839435125523,-3.3570119068279842,12.955773517414057,7.92771500000497e-06,0.010107385576557175,0.9319074064611715,0.2552430718809536
1.8,0.843568999749094,0.0012952279319731982,-3.7552109579628974,13.635624526006488,7.474560384711226e-06,0.010640815737330778,0.923786504631677,0.26872308609624096
1.9,0.8262965160150445,0.0014925734520447385,-4.173648540243796,14.301772315614176,6.8244504314585175e-06,0.011163998489163463,0.9152501194774687,0.28194697001655966
2,0.8082081514735773,0.0017079994754871121,-4.611912314903107,14.953532839685334,5.95517252770239e-06,0.011676426635524453,0.9063064011575134,0.29490196482537107
2.1,0.7893221974891488,0.0019421050024587918,-5.06957301412836,15.590234633845085,4.843435440948091e-06,0.012177603528466375,0.8969638905416188,0.30757554914498697
2.2,0.7696578122406305,0.002195395705709551,-5.546185060762592,16.211219701495573,3.465016436901558e-06,0.012667043715872845,0.8872315128711277,0.3199554501191287
2.3,0.7492350004578695,0.0024682704832635917,-6.041287192226256,16.815844406339426,1.7949377735318461e-06,0.013144273576204303,0.8771185708456053,0.3320296542792879
2.4,0.7280745906284044,0.002761008180693146,-6.554403083645476,17.403480370063125,-1.923277677569335e-07,0.013608831937200243,0.8666347371673906,0.34378641818558625
2.5,0.7061982096872839,0.0030737547518514038,-7.0850419645057015,17.97351537607076,-2.52262329077102e-06,0.014060270672870752,0.8557900465363819,0.3552142788313967
2.6,0.683628255158458,0.0034065111310120355,-7.63269922377038,18.52535427562842,-5.221847760113543e-06,0.014498155275301324,0.8445948871337694,0.36630206382145336
2.7,0.66038786486622,0.0037591220892322095,-8.19685699778604,19.058419895061423,-8.315671845912295e-06,0.014922065395553047,0.8330599915718713,0.37703890131954154
2.8,0.6365008842759228,0.00413126634203094,-8.776984736681392,19.572153939721662,-1.1829232600360506e-05,0.015331595350171173,0.8211964273302939,0.3874142297860924
2.9,0.6119918316434895,0.00452244816326719,-9.372539744582696,20.066017890051032,-1.5786810555171865e-05,0.015726354588840162,0.8090155866768873,0.39741780750978545
3,0.586885861123686,0.004931990742248568,-9.982967690437869,20.539493884721814,-2.0211493409628273e-05,0.016105968119933638,0.7965291760960729,0.40703972195503546
3.1,0.5612087241028777,0.005359031496754539,-10.607703086310426,20.99208558553306,-2.512483098531665e-05,0.016470076890387562,0.7837492052142313,0.4162703989365193
3.2,0.5349867289643333,0.005802519525613368,-11.246169731747607,21.423319016709023,-3.054648655557296e-05,0.01681833811841005,0.7706879752547642,0.4251006116470059
3.3,0.508246699619262,0.006261215349272166,-11.897781122598015,21.832743373870073,-3.64938899728353e-05,0.017150425576061012,0.7573580670324466,0.43352148954779735
3.4,0.48101593307023416,0.0067336930485688475,-12.561940824947474,22.219931794327472,-4.298189824898137e-05,0.01746602982200133,0.7437723285133,0.44152452715003926
3.5,0.45332215635958645,0.007218344869452943,-13.238042814586947,22.584482083779776,-5.00224693314906e-05,0.017764858383148768,0.7299438619760477,0.44910159269615224
3.6,0.42519348323039263,0.0077133883170615964,-13.925471784259432,22.92601739194869,-5.762435480528155e-05,0.018046635886558634,0.7158860108022329,0.45624493676005223
3.7,0.3966583708416325,0.00821687571666503,-14.623603421498565,23.24418683235315,-6.5792817100771e-05,0.01831110414245224,0.7016123459379733,0.462947200776076
3.8,0.3677455768735743,0.00872670617288965,-15.33180466077446,23.5386660397991,-7.452937652458521e-05,0.018558022180964685,0.6871366520771818,0.4692014255023062
3.9,0.3384841173622489,0.009240639813452339,-16.049433914340053,23.809157662109136,-8.383159303894817e-05,0.018787166244993974,0.6724729136122354,0.4750010594177033
4,0.3089032255625347,0.009756314160566425,-16.775841287184925,24.055391781179537,-9.369288723446757e-05,0.018998329743254095,0.6576353004043305,0.48033996704890664
