"Freq [GHz]","re(S(1,1)) []","im(S(1,1)) []","re(S(1,2)) []","im(S(1,2)) []","re(S(2,1)) []","im(S(2,1)) []","re(S(2,2)) []","im(S(2,2)) []"
0.5,5.28130780944602E-005,0.00140522960827028,0.987159259162614,-0.156546256670308,0.987159259162617,-0.156546256670308,0.000967447720915948,0.00140924033269529
0.6,0.000191147536590774,0.00165220584281833,0.981658668597908,-0.187463515035708,0.98165866859791,-0.18746351503571,0.00112888412487278,0.00161174572077716
0.7,0.000350992822924057,0.00188183389773,0.975183383563595,-0.21818743212039,0.975183383563598,-0.21818743212039,0.00130863876928788,0.00179771963481334
0.8,0.000531180038589762,0.00209224573633038,0.96773898134192,-0.248687210904146,0.967738981341922,-0.248687210904146,0.00150669521924685,0.00196478845073056
0.9,0.00073028589364732,0.00228151863542747,0.959332467794793,-0.278932069018222,0.959332467794794,-0.278932069018223,0.00172228364054194,0.00211059216822229
1,0.000946710953105057,0.00244775972941658,0.949972044423737,-0.308891390475332,0.949972044423736,-0.308891390475332,0.00195416139432492,0.0022328915107932
1.1,0.00117870575150714,0.00258913369830305,0.939666997206854,-0.338534773788266,0.939666997206853,-0.338534773788266,0.00220076054353241,0.00232958502946512
1.2,0.00142437470478962,0.00270387896334334,0.928427650888604,-0.367832058070403,0.928427650888605,-0.367832058070403,0.00246026074099603,0.0023987079332195
1.3,0.00168167302430944,0.00279032399063728,0.916265353809844,-0.39675335062974,0.916265353809843,-0.39675335062974,0.00273062503202209,0.00243843334752869
1.4,0.00194840326689338,0.00284690570599877,0.903192474973505,-0.425269060804567,0.903192474973505,-0.425269060804567,0.00300961893848362,0.00244707972614222
1.5,0.00222221424435343,0.00287218947685208,0.889222404518066,-0.453349939423574,0.889222404518065,-0.453349939423575,0.00329482282185201,0.00242312344819129
1.6,0.00250060296843185,0.0028648898531799,0.874369553543173,-0.4809671223824,0.874369553543171,-0.480967122382399,0.00358364242067899,0.00236521475520846
1.7,0.00278091975828371,0.00282389147489426,0.858649351529973,-0.508092176975424,0.858649351529975,-0.508092176975424,0.00387331977349814,0.00227219560811076
1.8,0.0030603763424169,0.00274826968135755,0.842078240570888,-0.534697150068342,0.842078240570888,-0.534697150068342,0.00416094551667756,0.00214311838400827
1.9,0.00333605676194715,0.00263731062889094,0.824673666049795,-0.560754617442478,0.824673666049802,-0.560754617442485,0.00444347311481702,0.00197726472443127
2,0.00360493100604925,0.00249053059724069,0.806454063538363,-0.58623773384907,0.806454063538362,-0.58623773384907,0.00471773514994017,0.0017741640317408
2.1,0.00386387127792087,0.00230769435390021,0.787438841758726,-0.61112028332696,0.787438841758721,-0.611120283326956,0.0049804618876696,0.0015336112414378
2.2,0.00410967081534125,0.00208883226615164,0.767648361461085,-0.635376729399392,0.767648361461083,-0.635376729399389,0.00522830212749725,0.00125568347015903
2.3,0.00433906523751987,0.00183425592469322,0.747103910130273,-0.65898226469829,0.747103910130274,-0.658982264698292,0.00545784637401536,0.000940755241383151
2.4,0.00454875629567691,0.00154457195095392,0.725827672462121,-0.681912859567904,0.725827672462122,-0.681912859567905,0.0056656522786247,0.000589511898489103
2.5,0.00473543794640163,0.00122069367699368,0.703842696626641,-0.70414530915238,0.703842696626642,-0.70414530915238,0.00584827226403584,0.00020296089725802
2.6,0.00489582451665227,0.000863850354005047,0.681172856381293,-0.725657278482393,0.681172856381295,-0.725657278482395,0.00600228317750262,-0.000217559433991044
2.7,0.00502668078544788,0.000475593560343768,0.65784280920336,-0.746427345037208,0.65784280920336,-0.746427345037209,0.00612431775452349,-0.000670373957685655
2.8,0.00512485366392607,5.78004919674635E-005,0.63387795064829,-0.766435038309661,0.633877950648291,-0.766435038309661,0.0062110976203209,-0.0011534679721491
2.9,0.00518730514724397,-0.000387326161590318,0.609304365252652,-0.785660875887842,0.609304365252652,-0.785660875887841,0.00625946748523359,-0.00166448791726148
3,0.00521114612858531,-0.0008572619917257,0.584148774339668,-0.804086395634694,0.584148774339669,-0.804086395634696,0.00626643015498157,-0.00220074581218793
3.1,0.00519367066542614,-0.00134916850977462,0.55843848117823,-0.821694183571018,0.55843848117823,-0.821694183571018,0.00622918191037952,-0.00275922759701391
3.2,0.00513239017727224,-0.00185990479074477,0.532201313967978,-0.838467897154603,0.532201313967978,-0.838467897154603,0.00614514777009173,-0.0033366055616757
3.3,0.00502506711507178,-0.00238604319122387,0.505465567214753,-0.854392283682514,0.505465567214752,-0.854392283682513,0.00601201614789354,-0.00392925489479284
3.4,0.00486974752906438,-0.00292388916185299,0.478259942043832,-0.869453193656935,0.478259942043833,-0.869453193656935,0.00582777234744436,-0.0045332743947753
3.5,0.00466479203475417,-0.00346950506770194,0.45061348606935,-0.8836375890016,0.45061348606935,-0.883637589001598,0.00559073038564917,-0.00514451124643306
